chocolate,milk,vanilla,Hot chocolate fudge
grapes,lychee,mango,Fruit salad
tomato,onion,cucumber,Salad
onion,cucumber,cheese,Sandwich
vanilla,strawberry,chocolate,ice cream
watermelon,cucumber,honey,cool breeze salad
bread, egg, cheese, bread omelette
broccoli, jalepeno, olive, greens salad
rice, spinach, tomato, tomato rice
rice, onion, potato, rice item
rice, onion, potato, rice item
rice, ladies finger, spinach, rice item
strawberry, milk, sugar, milkshake
vanilla, milk, sugar, milkshake
chocolate, milk, sugar, milkshake